area_code,imd_decile
LSOA::E01000613,3
LSOA::E01000615,6
LSOA::E01000616,3
LSOA::E01000617,4
LSOA::E01000618,3
LSOA::E01000619,3
LSOA::E01000620,4
LSOA::E01000621,3
LSOA::E01000622,2
LSOA::E01000623,5
LSOA::E01000624,5
LSOA::E01000625,3
LSOA::E01000626,1
LSOA::E01000627,1
LSOA::E01000628,1
LSOA::E01000629,4
LSOA::E01000630,3
LSOA::E01000631,5
LSOA::E01000632,3
LSOA::E01000633,3
LSOA::E01000634,3
LSOA::E01000636,4
LSOA::E01000637,3
LSOA::E01000638,2
LSOA::E01000639,4
LSOA::E01000640,1
LSOA::E01000641,2
LSOA::E01000642,2
LSOA::E01000643,1
LSOA::E01000644,3
LSOA::E01000645,10
LSOA::E01000646,9
LSOA::E01000647,9
LSOA::E01000648,9
LSOA::E01000649,9
LSOA::E01000650,9
LSOA::E01000651,8
LSOA::E01000652,10
LSOA::E01000653,10
LSOA::E01000654,8
LSOA::E01000655,8
LSOA::E01000656,9
LSOA::E01000657,6
LSOA::E01000658,9
LSOA::E01000659,9
LSOA::E01000661,3
LSOA::E01000662,7
LSOA::E01000663,6
LSOA::E01000664,7
LSOA::E01000665,8
LSOA::E01000666,10
LSOA::E01000667,10
LSOA::E01000668,7
LSOA::E01000669,8
LSOA::E01000670,10
LSOA::E01000671,7
LSOA::E01000672,9
LSOA::E01000673,8
LSOA::E01000674,6
LSOA::E01000676,4
LSOA::E01000677,7
LSOA::E01000678,9
LSOA::E01000679,8
LSOA::E01000680,9
LSOA::E01000681,10
LSOA::E01000682,10
LSOA::E01000683,8
LSOA::E01000684,10
LSOA::E01000685,8
LSOA::E01000686,9
LSOA::E01000687,9
LSOA::E01000688,10
LSOA::E01000689,5
LSOA::E01000690,10
LSOA::E01000691,7
LSOA::E01000692,8
LSOA::E01000693,9
LSOA::E01000694,10
LSOA::E01000695,10
LSOA::E01000696,10
LSOA::E01000697,9
LSOA::E01000698,10
LSOA::E01000699,5
LSOA::E01000700,7
LSOA::E01000701,8
LSOA::E01000702,8
LSOA::E01000703,8
LSOA::E01000704,8
LSOA::E01000705,5
LSOA::E01000706,7
LSOA::E01000707,10
LSOA::E01000708,9
LSOA::E01000709,7
LSOA::E01000710,9
LSOA::E01000711,7
LSOA::E01000712,9
LSOA::E01000713,9
LSOA::E01000714,7
LSOA::E01000715,10
LSOA::E01000716,10
LSOA::E01000717,9
LSOA::E01000718,5
LSOA::E01000719,4
LSOA::E01000720,2
LSOA::E01000721,2
LSOA::E01000722,5
LSOA::E01000723,9
LSOA::E01000724,2
LSOA::E01000725,4
LSOA::E01000726,7
LSOA::E01000727,6
LSOA::E01000728,5
LSOA::E01000729,2
LSOA::E01000730,2
LSOA::E01000731,4
LSOA::E01000732,8
LSOA::E01000733,5
LSOA::E01000734,9
LSOA::E01000735,4
LSOA::E01000736,4
LSOA::E01000737,3
LSOA::E01000738,6
LSOA::E01000739,2
LSOA::E01000741,5
LSOA::E01000742,5
LSOA::E01000743,2
LSOA::E01000744,2
LSOA::E01000745,5
LSOA::E01000746,6
LSOA::E01000747,5
LSOA::E01000748,8
LSOA::E01000749,8
LSOA::E01000750,3
LSOA::E01000751,10
LSOA::E01000752,9
LSOA::E01000753,10
LSOA::E01000754,10
LSOA::E01000755,10
LSOA::E01000756,10
LSOA::E01000757,10
LSOA::E01000758,10
LSOA::E01000759,10
LSOA::E01000760,8
LSOA::E01000761,10
LSOA::E01000762,9
LSOA::E01000763,10
LSOA::E01000764,7
LSOA::E01000765,9
LSOA::E01000766,10
LSOA::E01000767,10
LSOA::E01000768,9
LSOA::E01000769,5
LSOA::E01000770,10
LSOA::E01000771,10
LSOA::E01000772,10
LSOA::E01000773,10
LSOA::E01000774,8
LSOA::E01000775,9
LSOA::E01000777,10
LSOA::E01000778,7
LSOA::E01000779,7
LSOA::E01000780,4
LSOA::E01000781,3
LSOA::E01000782,2
LSOA::E01000783,3
LSOA::E01000784,8
LSOA::E01000785,3
LSOA::E01000786,9
LSOA::E01000787,5
LSOA::E01000788,6
LSOA::E01000789,1
LSOA::E01000790,7
LSOA::E01000791,8
LSOA::E01000792,6
LSOA::E01000793,10
LSOA::E01000794,10
LSOA::E01000795,7
LSOA::E01000796,2
LSOA::E01000797,7
LSOA::E01000798,2
LSOA::E01000799,4
LSOA::E01000800,3
LSOA::E01000801,5
LSOA::E01000802,6
LSOA::E01000803,6
LSOA::E01000804,9
LSOA::E01000805,4
LSOA::E01000806,3
LSOA::E01000807,8
LSOA::E01000808,10
LSOA::E01000809,10
LSOA::E01000810,10
LSOA::E01000811,10
LSOA::E01000812,8
LSOA::E01000813,10
LSOA::E01000814,10
LSOA::E01000815,10
LSOA::E01000816,7
LSOA::E01000818,9
LSOA::E01000819,4
LSOA::E01000820,5
LSOA::E01000822,6
LSOA::E01000823,7
LSOA::E01000824,6
LSOA::E01000825,6
LSOA::E01000826,10
LSOA::E01000827,9
LSOA::E01000828,8
LSOA::E01000829,9
LSOA::E01000830,10
LSOA::E01000831,10
LSOA::E01000832,10
LSOA::E01000833,10
LSOA::E01000834,10
LSOA::E01000835,7
LSOA::E01000836,10
LSOA::E01000837,8
LSOA::E01000838,10
LSOA::E01000839,10
LSOA::E01000840,9
LSOA::E01000841,10
LSOA::E01000842,9
LSOA::E01000843,5
LSOA::E01000844,8
LSOA::E01000845,7
LSOA::E01000846,3
LSOA::E01000847,5
LSOA::E01000848,9
LSOA::E01000849,7
LSOA::E01000850,6
LSOA::E01000851,6
LSOA::E01000853,2
LSOA::E01000855,6
LSOA::E01000856,3
LSOA::E01000857,6
LSOA::E01000858,2
LSOA::E01000859,8
LSOA::E01000860,4
LSOA::E01000861,3
LSOA::E01000862,8
LSOA::E01000863,2
LSOA::E01000866,3
LSOA::E01000867,3
LSOA::E01000868,2
LSOA::E01000869,4
LSOA::E01000870,3
LSOA::E01000871,6
LSOA::E01000872,2
LSOA::E01000873,8
LSOA::E01000874,8
LSOA::E01000875,3
LSOA::E01000876,3
LSOA::E01000877,7
LSOA::E01000878,8
LSOA::E01000879,9
LSOA::E01000880,9
LSOA::E01000881,6
LSOA::E01000882,9
LSOA::E01000883,8
LSOA::E01000884,9
LSOA::E01000885,9
LSOA::E01000886,7
LSOA::E01000887,6
LSOA::E01000888,6
LSOA::E01000889,2
LSOA::E01000890,1
LSOA::E01000891,1
LSOA::E01000892,6
LSOA::E01000893,9
LSOA::E01000894,9
LSOA::E01000895,6
LSOA::E01000896,10
LSOA::E01000897,10
LSOA::E01000898,6
LSOA::E01000899,8
LSOA::E01000900,3
LSOA::E01000901,2
LSOA::E01000902,2
LSOA::E01000903,5
LSOA::E01000904,3
LSOA::E01000905,2
LSOA::E01000906,7
LSOA::E01000907,3
LSOA::E01000908,3
LSOA::E01000909,7
LSOA::E01000910,8
LSOA::E01000911,5
LSOA::E01000912,3
LSOA::E01000913,7
LSOA::E01000914,4
LSOA::E01000915,3
LSOA::E01000916,4
LSOA::E01000917,1
LSOA::E01000918,4
LSOA::E01000919,3
LSOA::E01000920,5
LSOA::E01000921,5
LSOA::E01000922,4
LSOA::E01000923,5
LSOA::E01000924,6
LSOA::E01000925,3
LSOA::E01000926,4
LSOA::E01000927,5
LSOA::E01000928,4
LSOA::E01000929,2
LSOA::E01000930,2
LSOA::E01000931,1
LSOA::E01000932,4
LSOA::E01000933,3
LSOA::E01000934,2
LSOA::E01000935,2
LSOA::E01000937,6
LSOA::E01000938,2
LSOA::E01000939,2
LSOA::E01000941,2
LSOA::E01000942,4
LSOA::E01000943,6
LSOA::E01000944,3
LSOA::E01000946,5
LSOA::E01000947,3
LSOA::E01000948,3
LSOA::E01000949,4
LSOA::E01000951,2
LSOA::E01000952,2
LSOA::E01000954,2
LSOA::E01000955,2
LSOA::E01000956,2
LSOA::E01000957,3
LSOA::E01000958,4
LSOA::E01000959,2
LSOA::E01000960,5
LSOA::E01000961,3
LSOA::E01000962,9
LSOA::E01000963,8
LSOA::E01000964,5
LSOA::E01000965,6
LSOA::E01000966,10
LSOA::E01000967,9
LSOA::E01000968,7
LSOA::E01000969,8
LSOA::E01000970,6
LSOA::E01000971,7
LSOA::E01000972,3
LSOA::E01000973,5
LSOA::E01000974,2
LSOA::E01000975,5
LSOA::E01000976,2
LSOA::E01000977,3
LSOA::E01000978,4
LSOA::E01000979,5
LSOA::E01000980,3
LSOA::E01000981,5
LSOA::E01000982,4
LSOA::E01000983,6
LSOA::E01000984,2
LSOA::E01000985,8
LSOA::E01000986,7
LSOA::E01000987,8
LSOA::E01000989,8
LSOA::E01000990,2
LSOA::E01000991,9
LSOA::E01000992,3
LSOA::E01000993,6
LSOA::E01000994,5
LSOA::E01000995,4
LSOA::E01000996,5
LSOA::E01000997,4
LSOA::E01000998,2
LSOA::E01000999,5
LSOA::E01001000,3
LSOA::E01001001,2
LSOA::E01001002,4
LSOA::E01001003,4
LSOA::E01001004,3
LSOA::E01001005,3
LSOA::E01001006,3
LSOA::E01001007,4
LSOA::E01001008,3
LSOA::E01001009,4
LSOA::E01001010,2
LSOA::E01001011,2
LSOA::E01001012,2
LSOA::E01001013,1
LSOA::E01001015,4
LSOA::E01001016,8
